text,sentiment
I really like these Dr. Dennis Gross alpha beta extra strength daily peel packets. I find them very convenient to use with the towelettes. It’s a quick treatment that really gives results. I love how my skin feels so refreshed and smooth after using these. I notice how bright and clear my skin looks and it feels amazing when done.,2
I really felt the difference in 5 treatments i felt my skin got even tone.,1
"This product has singularly changed the texture and appearance of my skin. It has drastically improved my hyper pigmentation, evened out areas of redness, kept blemishes at bay, and has reduced my pore size.  You only need 1-2 drops of this morning and night and it will make such a huge difference!",2
One of the best moisturizers I’ve ever tried! I have oily skin and this skins in my skin right away and doesn’t leave my face feeling greasy.,2
"Love this! Helps remove the dead skin on a daily!! I have PCOS and have really bad hirsutism…as a long as this is part of my daily routine, it really helps clarify and remove any dullness.",1
"I’ve reordered this cleanser a couple of times now. It’s a good staple to have for sure. My skin isn’t completely clear, but it’s good for the most part. Don’t need much product to get a good lather, pump has never broken on me, and my skin feels fresh afterwards. Will continue to use.",1
"I am super hesitant to stray away from my normal toner because of my problem, acne skin but I received this from Influenster and gave it a try. At first I did not like the smell but after about a week, I got over it and it’s not the worst smelling skin care product. Even after the first use, my skin felt softer than normal and smooth. I haven’t noticed any triggering to cause acne which is really nice too! Overall, I totally recommend and I might even have to get a second bottle! I really like this toner!",2
"After hearing rave reviews for this moisturizer for years, I decided to pick it up. I’ll say it’s a good moisturizer, but idk if I agree with the hype. The consistency makes it not easy to spread, but that’s my only con.",1
I was a big fan of the night serum so I was excited to try this one as well. I definitely noticed an improvement in the fine lines under my eye nothing drastic but enough to notice. Will continue to use since it works better than most eye creams I’ve tried (and I’ve tried a lot!). I received this product complimentary in exchange for my honest opinion.,1
Love this toner! It’s the only toner I’ve used that I actually see a difference in my skin,2
"I had my doubts about this sunscreen but since using it this past month I am a huge fan, not only does it blend in with my make up well but it’s also very light weight and feels amazing on my skin. Would recommend!!!",2
"The best product to take of my makeup! It doesn’t burn the eyes, it doesn’t make the skin dry it removes everyyything! I have purchased this 3 times now and I don’t change it for anything! When I travel I take the travel size with.",2
"My new go to night cream! If you want glowing hydrated skin, this product is for you!",2
Thick but not overbearing. It has the same smell as every other product in the line but I am okay with it. I have seen better texture within my skin and I only use a pump every time. I like that it doesn’t leave a white cast too.,2
"I have combination skin live in South Texas so lots of sun and heat. So far its great under my makeup, not heavy and doesn’t leave me greasy! Still trying to figure out how to control the T zone oil but its worth the issue for clean spf coverage.",2
This product is like gold for your lips! I find my lips to feel so hydrated and healthy when I wake up in the morning. I purchased the new scents to add to my collection and will continue to repurchase so I never run out!,2
"After having tried several different salicylic acid and benzoyl peroxide treatments throughout my life, I was intrigued to try a product with a different main ingredient. I occasionally get cystic acne that takes weeks to treat with any other treatment I tried. With this product it goes down in about 2 days, which is great!! I’m giving it 4 stars because it looks like calamine lotion, I really wish it dried clear.",1
best moisturizer ever with a plus that it does miracles for eczema,2
"I got a mini size of this in a sub. I tried it 1 time and was absolutely amazed at how good my skin looked and felt. I’ve gotten many of the minis from friends that did not want it. But I finally broke down and bought the full size and the full size cleanser. My face is seriously flawless when I use this stuff! I have combo acne prone skin, but my skin has never been clearer or softer. I can go without makeup and still feel amazing! I highly recommend!",2
People have complimented my glowing skin after just one use. Been raving abt it to friends and fam and want to treat them all to this wonder in a bottle. Thank you The Ordinary!,2
"I have dry skin, and I try whatever I can to keep my skin moisturized. Some moisturizers are instantly hydrating and soothing, but doesn’t last long. Some does creates barriers that claims to keep my skin moisturizing throughout the day but most of the times it feels like a film is sitting on top of my skin for nothing. This essence however... is so moisturizing that I couldn’t believe it at first. The effect you’ll see the moment you put on will last you at least 8 hours. I can even skip my moisturizer on top when I apply this. The only thing that bothers me is odd smell, but what it does is so amazing that I don’t even care. Your skin will thank you. The moisturizing effect lasts all day, even working 8 hours a day in a super dry nasty office environment.",2
Great product! Gets all my makeup off and makeshift skin super soft. Great for travel and gets more makeup off than my previous makeup removing face oil.,2
i applied it every night on my face and on my hair after i dry my hair. i live in a very cold snowy place (buffalo nyc) so its so hard to protect the skin n hair and honestly this makes my skin feel like a baby skin after continual use and makes my hair soft as well.,2
I really liked this! I use less than a penny size it if full goes on my face. It’s taken acne off my face and I’ve only used it for 2 says,2
"I really like this cream. It’s light but it only takes a small amount to go a long way. I used it for a week and saw a little difference, it looks like I’m a bit refreshed. I don’t know if that was the goal but that is what I wound up with. It doesn’t have a funny smell but it would’ve been nice if it has some fragrance.",2
My skin turned into an oily mess plus it did break me out!,0
"I absolutely LOVE this product. I saw this recommended by  Stephanie Nicole on YouTube and thought I would try it. I have very sensitive and dry skin and this doesn’t irritate it whatsoever. I usually use it am and PM every other day depending on what other products I’m using for my routine. I went a couple of months without using and I noticed the difference. It makes pores smaller within one to two uses, for my skin. I have let a couple of friends use it and they also noticed a difference as soon as they used them. I would recommend buying a small set to try, which is what I did and I fell in love with this product and hopefully you will too!!",2
Having tried different skin care lines I was skeptical at first about this line and the price at first deterred me. When I started to use this product though my skin which is very sensitive immediately took on a beautiful glow and feel. I love this line and it is so worth the money!,2
"Im not sure if i like or not. I have dry sensitive skin , first of all i really dont like the smell...  my skin dont feel full hydrated after but only sticky.. it gives me also breakout . I only like the fresh sensation at the beginning , small hydratation , not for irritated skin and dry patch",0
"I love this product, I see a visible difference  in my skin. It makes my skin feel wonderful!",2
"I really wanted these strips to be amazing! I have pretty bad sebum buildup and was hoping that these would help clear those out. I left one on my nose and one on my chin overnight, but when I removed them, nothing happened. I haven’t used them since just because it seems like a waste!",0
"This is the only product I use between cleaning and moisturizing, and it genuinely makes my skin look the best its ever been. Makes me feel like a straight up ethereal queen sent by the gods themselves. Its also is only product that I’ve ever gone back to, and I’ve never bought the same bottle twice.",2
"I didnt think this cleanser would clear up my skin, but to my suprise it has!! The redness is gone, my skin is soft and supple, my makeup glides on. I’m using it in conjunction with Josie Maran Argan Oil (as a moisturizer) and wow...overnight i noticed a HUGE improvement in my skin!!",2
